dataset,mistakes,total,config.EDGE_DETECTION.APERTURE,config.EDGE_DETECTION.HIGH_THRESHOLD,config.EDGE_DETECTION.LOW_THRESHOLD,config.LINE_DETECTION.THRESHOLD,config.LINE_REFINEMENT.LINE_THRESHOLD,config.MAX_OUTLIER_INTERSECTION_POINT_RATIO_PER_LINE,config.RANSAC.BEST_SOLUTION_TOLERANCE,config.RANSAC.OFFSET_TOLERANCE
VAL,106,146,3,350,140,250,3,0.5,0.1,0.05
VAL,85,146,3,150,140,150,3,0.5,0.1,0.15000000000000002
VAL,146,146,3,100,80,150,3,0.5,0.1,0.05
VAL,81,146,3,200,120,200,3,0.7,0.1,0.05
VAL,106,146,3,350,120,250,3,0.7,0.1,0.15000000000000002
VAL,5,146,3,350,100,100,3,0.5,0.1,0.1
VAL,114,146,3,200,150,250,3,0.5,0.1,0.15000000000000002
VAL,98,146,3,200,110,150,3,0.5,0.1,0.2
VAL,23,146,3,450,130,200,3,0.7,0.1,0.15000000000000002
VAL,85,146,3,200,100,150,3,0.5,0.1,0.05
VAL,26,146,3,400,150,200,3,0.5,0.1,0.05
VAL,20,146,3,450,130,200,3,0.7,0.1,0.05
VAL,9,146,3,250,130,100,3,0.7,0.1,0.15000000000000002
VAL,91,146,3,200,90,150,3,0.5,0.1,0.05
VAL,105,146,3,450,90,250,3,0.7,0.1,0.05
VAL,25,146,3,300,140,200,3,0.7,0.1,0.15000000000000002
VAL,117,146,3,250,90,250,3,0.5,0.1,0.1
VAL,104,146,3,200,80,200,3,0.7,0.1,0.1
VAL,96,146,3,400,90,250,3,0.7,0.1,0.1
VAL,11,146,3,500,130,100,3,0.5,0.1,0.2
VAL,13,146,3,350,130,150,3,0.5,0.1,0.15000000000000002
VAL,120,146,3,450,90,250,3,0.5,0.1,0.2
VAL,114,146,3,200,90,250,3,0.5,0.1,0.05
VAL,146,146,3,100,80,150,3,0.7,0.1,0.1
VAL,21,146,3,300,110,200,3,0.5,0.1,0.15000000000000002
VAL,80,146,3,350,140,100,3,0.7,0.1,0.05
VAL,74,146,3,200,120,150,3,0.5,0.1,0.1
VAL,4,146,3,450,120,100,3,0.7,0.1,0.15000000000000002
VAL,1,146,3,400,100,100,3,0.5,0.1,0.15000000000000002
VAL,35,146,3,350,100,100,3,0.5,0.1,0.05
VAL,85,146,3,250,80,200,3,0.7,0.1,0.1
VAL,49,146,3,300,80,200,3,0.7,0.1,0.05
VAL,8,146,3,250,140,200,3,0.5,0.1,0.1
VAL,100,146,3,450,90,250,3,0.7,0.1,0.1
VAL,54,146,3,350,100,200,3,0.7,0.1,0.2
VAL,146,146,3,250,130,50,3,0.7,0.1,0.05
VAL,53,146,3,450,120,200,3,0.5,0.1,0.2
VAL,5,146,3,400,100,150,3,0.7,0.1,0.15000000000000002
VAL,54,146,3,250,100,150,3,0.5,0.1,0.05
VAL,11,146,3,500,80,150,3,0.7,0.1,0.05
VAL,15,146,3,300,110,100,3,0.7,0.1,0.1
VAL,145,146,3,100,80,250,3,0.5,0.1,0.05
VAL,18,146,3,400,130,150,3,0.5,0.1,0.15000000000000002
VAL,129,146,3,150,80,200,3,0.7,0.1,0.05
VAL,37,146,3,500,140,200,3,0.7,0.1,0.15000000000000002
VAL,99,146,3,200,80,150,3,0.5,0.1,0.1
VAL,19,146,3,400,110,200,3,0.5,0.1,0.15000000000000002
VAL,82,146,3,200,120,200,3,0.7,0.1,0.05
VAL,146,146,3,300,90,50,3,0.7,0.1,0.05
VAL,9,146,3,400,120,100,3,0.7,0.1,0.1
VAL,8,146,3,450,140,100,3,0.5,0.1,0.15000000000000002
VAL,0,146,3,500,120,100,3,0.7,0.1,0.15000000000000002
