dataset,mistakes,total,config.EDGE_DETECTION.APERTURE,config.EDGE_DETECTION.HIGH_THRESHOLD,config.EDGE_DETECTION.LOW_THRESHOLD,config.LINE_DETECTION.THRESHOLD,config.LINE_REFINEMENT.LINE_THRESHOLD,config.MAX_OUTLIER_INTERSECTION_POINT_RATIO_PER_LINE,config.RANSAC.BEST_SOLUTION_TOLERANCE,config.RANSAC.OFFSET_TOLERANCE
TRAIN_SUBSET,106,146,3,350,140,250,3,0.5,0.1,0.05
TRAIN_SUBSET,85,146,3,150,140,150,3,0.5,0.1,0.15000000000000002
TRAIN_SUBSET,146,146,3,100,80,150,3,0.5,0.1,0.05
TRAIN_SUBSET,81,146,3,200,120,200,3,0.7,0.1,0.05
TRAIN_SUBSET,106,146,3,350,120,250,3,0.7,0.1,0.15000000000000002
TRAIN_SUBSET,5,146,3,350,100,100,3,0.5,0.1,0.1
TRAIN_SUBSET,114,146,3,200,150,250,3,0.5,0.1,0.15000000000000002
TRAIN_SUBSET,98,146,3,200,110,150,3,0.5,0.1,0.2
TRAIN_SUBSET,23,146,3,450,130,200,3,0.7,0.1,0.15000000000000002
TRAIN_SUBSET,85,146,3,200,100,150,3,0.5,0.1,0.05
TRAIN_SUBSET,26,146,3,400,150,200,3,0.5,0.1,0.05
TRAIN_SUBSET,20,146,3,450,130,200,3,0.7,0.1,0.05
TRAIN_SUBSET,9,146,3,250,130,100,3,0.7,0.1,0.15000000000000002
TRAIN_SUBSET,91,146,3,200,90,150,3,0.5,0.1,0.05
TRAIN_SUBSET,105,146,3,450,90,250,3,0.7,0.1,0.05
TRAIN_SUBSET,25,146,3,300,140,200,3,0.7,0.1,0.15000000000000002
TRAIN_SUBSET,117,146,3,250,90,250,3,0.5,0.1,0.1
TRAIN_SUBSET,104,146,3,200,80,200,3,0.7,0.1,0.1
TRAIN_SUBSET,96,146,3,400,90,250,3,0.7,0.1,0.1
TRAIN_SUBSET,11,146,3,500,130,100,3,0.5,0.1,0.2
TRAIN_SUBSET,13,146,3,350,130,150,3,0.5,0.1,0.15000000000000002
TRAIN_SUBSET,120,146,3,450,90,250,3,0.5,0.1,0.2
TRAIN_SUBSET,114,146,3,200,90,250,3,0.5,0.1,0.05
TRAIN_SUBSET,146,146,3,100,80,150,3,0.7,0.1,0.1
