run,dataset,parameters,accuracy,precision/empty,precision/occupied,recall/empty,recall/occupied,f1_score/empty,f1_score/occupied,confusion_matrix/0/0,confusion_matrix/0/1,confusion_matrix/1/0,confusion_matrix/1/1
CNN50_2Conv_2Pool_3FC,train,4134858,0.9962073863636364,0.9972554903541699,0.9941261914607122,0.9970425414925023,0.9945479809497545,0.9971490045541183,0.9943370414753385,186769,514,554,93763
CNN50_2Conv_2Pool_3FC,val,4134858,0.9957191780821918,0.9970845481049563,0.9930599369085173,0.9964389770152153,0.9943145925457991,0.9967616580310882,0.9936868686868687,6156,18,22,3148
CNN100_3Conv_3Pool_2FC_centercrop,train,6435546,0.9950710227272728,0.9981300198785853,0.9890593574610128,0.9944534307052524,0.996298142707129,0.9962883333868155,0.9926655534653674,186284,349,1039,93928
CNN100_3Conv_3Pool_2FC_centercrop,val,6435546,0.9949700342465754,0.9982122541849504,0.988718270134754,0.9941728714794432,0.9965255843335439,0.9961884680885573,0.9926065754286613,6142,11,36,3155
CNN100_3Conv_3Pool_3FC,train,6690314,0.9972265625,0.9970159115857232,0.9976473844450595,0.9988202196206553,0.9940600570658803,0.9979172500233343,0.9958504901309673,187102,560,221,93717
CNN100_3Conv_3Pool_3FC,val,6690314,0.9966823630136986,0.9966068831798351,0.9968304278922345,0.9983813531887342,0.9933670246367656,0.997493329020781,0.9950957127036861,6168,21,10,3145
AlexNet,train,57012034,0.9979190340909091,0.998084873703022,0.9975888257475172,0.998788189384112,0.9961920722975911,0.9984364076866837,0.9968899597711521,187096,359,227,93918
AlexNet,val,57012034,0.998394691780822,0.9983826621381207,0.9984182220816198,0.9991906765943671,0.9968414403032217,0.9987865059461208,0.997629208155524,6173,10,5,3156
CNN50_3Conv_1Pool_2FC,train,18564314,0.9959978693181818,0.9972811862360721,0.9934524187909224,0.9967008856360404,0.9946010161545233,0.9969909514947788,0.9940263856718063,186705,509,618,93768
CNN50_3Conv_1Pool_2FC,val,18564314,0.9955051369863014,0.9974059662775616,0.9918136020151134,0.995791518290709,0.9949463044851548,0.9965980884497003,0.9933774834437086,6152,16,26,3150
CNN100_3Conv_3Pool_3FC_centercrop,train,6690314,0.995625,0.9968176502939402,0.9932567829765577,0.9966047949264105,0.993678203591544,0.9967112112459491,0.9934674485932744,186687,596,636,93681
CNN100_3Conv_3Pool_3FC_centercrop,val,6690314,0.9950770547945206,0.9974042829331603,0.9905660377358491,0.9951440595662027,0.9949463044851548,0.9962728893210178,0.9927513394264103,6148,16,30,3150
CNN50_2Conv_2Pool_2FC,train,3880090,0.9969637784090909,0.9979012464353232,0.9951031310283425,0.9975336717861661,0.9958314329051624,0.9977174252556883,0.9954671487570443,186861,393,462,93884
CNN50_2Conv_2Pool_2FC,val,3880090,0.9961472602739726,0.9970864357397216,0.9943145925457991,0.9970864357397216,0.9943145925457991,0.9970864357397216,0.9943145925457991,6160,18,18,3148
CNN50_3Conv_1Pool_2FC_centercrop,train,18564314,0.9960653409090909,0.9966766420748849,0.9948480438500515,0.9974108892127501,0.9933918134857919,0.9970436304644809,0.9941193953804348,186838,623,485,93654
CNN50_3Conv_1Pool_2FC_centercrop,val,18564314,0.9951840753424658,0.9957962813257882,0.9939854384298829,0.996924571058595,0.9917877447883765,0.9963601067702014,0.9928853754940712,6159,26,19,3140
ResNet_centercrop,train,11177538,0.9992223011363637,0.9997649472199667,0.9981463435302093,0.9990657847674872,0.9995332901980335,0.9994152437152051,0.9988393354002703,187148,44,175,94233
ResNet_centercrop,val,11177538,0.9991438356164384,1.0,0.9974795211090107,0.9987050825509873,1.0,0.9993521218011013,0.9987381703470031,6170,0,8,3166
CNN50_2Conv_2Pool_3FC_centercrop,train,4134858,0.9952379261363636,0.9963331838852238,0.99306056618989,0.9965087042167806,0.9927129628647496,0.9964209363214912,0.9928867341038929,186669,687,654,93590
CNN50_2Conv_2Pool_3FC_centercrop,val,4134858,0.9945419520547946,0.9954714539867379,0.9927238215754508,0.9962771123340887,0.9911560328490209,0.9958741202168109,0.9919393077287815,6155,28,23,3138
CNN50_3Conv_1Pool_3FC_centercrop,train,18819082,0.994698153409091,0.9967388398823844,0.9906610259122157,0.9952862168553781,0.993529705018191,0.9960119987285408,0.9920932917432359,186440,610,883,93667
CNN50_3Conv_1Pool_3FC_centercrop,val,18819082,0.994755993150685,0.9967579834657156,0.9908661417322835,0.9953059242473292,0.9936828806064435,0.9960314246375638,0.992272512222047,6149,20,29,3146
VGG,train,128780034,0.999463778409091,0.9997757081215021,0.9988446536080726,0.9994181173694634,0.999554504279941,0.9995968807648052,0.9991994528711013,187214,42,109,94235
VGG,val,128780034,0.9995719178082192,0.9998380829015544,0.9990530303030303,0.9995144059566202,0.9996841440303221,0.9996762182289136,0.9993684875276286,6175,1,3,3165
AlexNet_centercrop,train,57012034,0.9977095170454545,0.9981533863478679,0.9968269128727582,0.9984038265455923,0.9963299638299904,0.9982785907396188,0.9965783763998154,187024,346,299,93931
AlexNet_centercrop,val,57012034,0.9972174657534246,0.9980569948186528,0.9955808080808081,0.9977338944642279,0.9962097283638661,0.9978954184879392,0.9958951689295864,6164,12,14,3154
CNN50_2Conv_2Pool_2FC_centercrop,train,3880090,0.9958238636363637,0.9962728945053188,0.9949284992823348,0.9974535961948079,0.9925856783733042,0.9968628957393002,0.9937557080050125,186846,699,477,93578
