model,dataset,parameters,accuracy,precision/empty,precision/occupied,recall/empty,recall/occupied,f1_score/empty,f1_score/occupied,confusion_matrix/0/0,confusion_matrix/0/1,confusion_matrix/1/0,confusion_matrix/1/1
CNN50_2Conv_2Pool_3FC,train,4134858,0.9961931818181818,0.9976965790725391,0.9932159979679744,0.9965781030626244,0.9954283653489187,0.9971370274225769,0.9943209510287979,186682,431,641,93846
CNN50_2Conv_2Pool_3FC,val,4134858,0.9959332191780822,0.997246517654681,0.9933753943217666,0.9966008416963419,0.994630448515477,0.9969235751295337,0.9940025252525253,6157,17,21,3149
CNN100_3Conv_3Pool_2FC_centercrop,train,6435546,0.9961257102272727,0.9963327789859707,0.9957124010554089,0.9978486357788419,0.9927023558237958,0.9970901312508168,0.9942051001492546,186920,688,403,93589
CNN100_3Conv_3Pool_2FC_centercrop,val,6435546,0.996361301369863,0.9966052376333656,0.9958834705509816,0.9978957591453544,0.9933670246367656,0.9972500808799741,0.9946236559139785,6165,21,13,3145
CNN100_3Conv_3Pool_3FC,train,6690314,0.9969850852272727,0.9971314316182351,0.9966932482721956,0.9983397660725057,0.9942934119668636,0.997735232998909,0.9954918837978622,187012,538,311,93739
CNN100_3Conv_3Pool_3FC,val,6690314,0.9971104452054794,0.9974122594209931,0.9965200885795634,0.9982194885076077,0.9949463044851548,0.9978157107030177,0.9957325746799431,6167,16,11,3150
AlexNet,train,57012034,0.9974325284090909,0.9977327287276607,0.9968348380244291,0.9984091649183496,0.9954920075946413,0.9980708322104315,0.9961629702749606,187025,425,298,93852
AlexNet,val,57012034,0.997966609589041,0.9980591945657448,0.9977855109142676,0.998866947232114,0.9962097283638661,0.9984629075317532,0.996996996996997,6171,12,7,3154
CNN50_3Conv_1Pool_2FC,train,18564314,0.9967329545454545,0.9964577351877401,0.9972833903288696,0.9986387149469099,0.9929463177657329,0.9975470329764089,0.99511012841228,187068,665,255,93612
CNN50_3Conv_1Pool_2FC,val,18564314,0.9956121575342466,0.9951589478780055,0.9965046075627582,0.9982194885076077,0.9905243209096652,0.9966868686868686,0.9935054649136703,6167,30,11,3136
CNN100_3Conv_3Pool_3FC_centercrop,train,6690314,0.9955291193181818,0.9985584291701054,0.9895787279732204,0.994715010970356,0.9971467059834318,0.9966330146419736,0.993348302734117,186333,269,990,94008
CNN100_3Conv_3Pool_3FC_centercrop,val,6690314,0.9949700342465754,0.9985363473735567,0.9881064162754304,0.99384914211719,0.9971572962728995,0.996187231280928,0.9926112246502122,6140,9,38,3157
CNN50_2Conv_2Pool_2FC,train,3880090,0.9964488636363636,0.9972246388027519,0.9949064592463682,0.9974375810765362,0.9944843387040317,0.9973310985732053,0.9946953541912007,186843,520,480,93757
CNN50_2Conv_2Pool_2FC,val,3880090,0.9953981164383562,0.9967611336032388,0.9927421899652887,0.9962771123340887,0.9936828806064435,0.9965190641949324,0.9932123125493292,6155,20,23,3146
CNN50_3Conv_1Pool_2FC_centercrop,train,18564314,0.9943643465909091,0.9954651187605369,0.9921732296843805,0.9960656192779317,0.9909840151892827,0.9957652784856401,0.9915782658763221,186586,850,737,93427
CNN50_3Conv_1Pool_2FC_centercrop,val,18564314,0.9949700342465754,0.9959553470312247,0.9930445779323427,0.9964389770152153,0.9921036007580544,0.9961971033255118,0.9925738663295939,6156,25,22,3141
ResNet_centercrop,train,11177538,0.9993607954545455,0.999332952671658,0.9994161792648105,0.9997063894983531,0.9986741198807768,0.9995196362044855,0.999045011778188,187268,125,55,94152
ResNet_centercrop,val,11177538,0.9990368150684932,0.999029283287494,0.9990515333544103,0.9995144059566202,0.998104864181933,0.9992717857431831,0.9985779744035392,6175,6,3,3160
CNN50_2Conv_2Pool_3FC_centercrop,train,4134858,0.9956995738636364,0.9964204551516639,0.9942642279013447,0.9971172787111032,0.9928826755200102,0.9967687451471142,0.9935729714525297,186783,671,540,93606
CNN50_2Conv_2Pool_3FC_centercrop,val,4134858,0.9951840753424658,0.9962777148405891,0.9930489731437598,0.9964389770152153,0.99273531269741,0.9963583394027677,0.9928921181487916,6156,23,22,3143
CNN50_3Conv_1Pool_3FC_centercrop,train,18819082,0.9940731534090909,0.995404961147639,0.9914246901001867,0.9956865948121694,0.990867337738791,0.9955457580618042,0.9911459355653285,186515,861,808,93416
CNN50_3Conv_1Pool_3FC_centercrop,val,18819082,0.9938998287671232,0.9941869853059906,0.9933354490637892,0.9966008416963419,0.9886291850915983,0.995392450084876,0.9909767294601869,6157,36,21,3130
VGG,train,128780034,0.999609375,0.9997597475747853,0.9993106885690956,0.999653005770781,0.9995226831570797,0.9997063738234933,0.9994166746211036,187258,45,65,94232
VGG,val,128780034,0.999464897260274,0.9995144845444247,0.9993680884676145,0.9996762706377469,0.9990524320909665,0.999595371044752,0.9992102353498657,6176,3,2,3163
AlexNet_centercrop,train,57012034,0.9975745738636363,0.9969433616631521,0.9988381017353857,0.9994181173694634,0.9939115584925273,0.9981792056218025,0.9963687403303755,187214,574,109,93703
AlexNet_centercrop,val,57012034,0.9976455479452054,0.997253634894992,0.998414711477489,0.9991906765943671,0.994630448515477,0.9982212160413971,0.9965189873417721,6173,17,5,3149
