file,error,num_incorrect_squares,num_incorrect_corners,occupancy_classification_mistakes,piece_classification_mistakes,actual_num_pieces,predicted_num_pieces,time_corner_detection,time_occupancy_classification,time_piece_classification,time_prepare_results
4366.png,None,0,0,0,0,32,32,0.1264938646927476,0.05559458490461111,0.27670350205153227,0.00011327490210533142
2978.png,None,0,0,0,0,17,17,0.1384842237457633,0.051708582788705826,0.13932440429925919,7.952563464641571e-05
3363.png,None,0,0,0,0,28,28,0.12153953127563,0.05119264405220747,0.2371842209249735,0.00010187085717916489
3177.png,None,0,0,0,0,25,25,0.13381701428443193,0.05041802581399679,0.21466790419071913,0.00010017678141593933
4794.png,None,0,0,0,0,25,25,0.1349889636039734,0.050194013863801956,0.1909552998840809,9.703822433948517e-05
3065.png,None,0,0,0,0,26,26,0.12469020765274763,0.05094980355352163,0.20190066937357187,9.779632091522217e-05
1449.png,None,0,0,0,0,26,26,0.13583392836153507,0.05118391662836075,0.20325232204049826,9.731482714414597e-05
1569.png,None,0,0,0,0,26,26,0.13113847002387047,0.05130124744027853,0.2002530861645937,9.756069630384445e-05
0088.png,None,0,0,0,0,26,26,0.13580064568668604,0.05031616613268852,0.19969619438052177,9.692180901765823e-05
2101.png,None,0,0,0,0,26,26,0.13957385998219252,0.051351021975278854,0.20310610439628363,0.00011054612696170807
0583.png,None,0,0,0,0,26,26,0.1259651593863964,0.05091424752026796,0.19933923054486513,9.808223694562912e-05
1181.png,None,0,0,0,0,18,18,0.12548238690942526,0.05068746488541365,0.14418177027255297,8.207187056541443e-05
3910.png,None,0,0,0,0,20,20,0.12340816855430603,0.05060770269483328,0.15478880517184734,8.609704673290253e-05
1570.png,None,0,0,0,0,15,15,0.13729417603462934,0.05048401840031147,0.11900033056735992,7.573794573545456e-05
0184.png,None,0,0,0,0,24,24,0.12452773842960596,0.05079527851194143,0.19879102520644665,9.338650852441788e-05
2348.png,None,0,0,0,0,32,32,0.1377400541678071,0.04991448763757944,0.2598072336986661,0.00011207163333892822
4628.png,None,0,0,0,0,32,32,0.13427575211971998,0.05089852213859558,0.24636925756931305,0.00014623906463384628
2166.png,None,1,0,1,0,30,29,0.1345275891944766,0.05015449319034815,0.23524230998009443,0.00010314863175153732
3212.png,None,0,0,0,0,16,16,0.11951706744730473,0.04990440048277378,0.12354977894574404,7.67214223742485e-05
4175.png,None,0,0,0,0,11,11,0.12869574315845966,0.05045616813004017,0.0884538209065795,6.877444684505463e-05
1026.png,None,0,0,0,0,11,11,0.12307324819266796,0.05010401923209429,0.0866642827168107,6.716419011354446e-05
1720.png,None,0,0,0,0,14,14,0.1282599875703454,0.0508685102686286,0.112993692047894,7.469300180673599e-05
2059.png,None,1,0,1,0,7,6,0.12493904866278172,0.05067811347544193,0.05696425121277571,5.7882629334926605e-05
1895.png,None,1,0,1,0,30,29,0.13324138429015875,0.05058823060244322,0.22091926913708448,0.00010398402810096741
2008.png,None,0,0,0,0,6,6,0.12650890927761793,0.05131820309907198,0.05770678073167801,5.818065255880356e-05
4833.png,None,0,0,0,0,6,6,0.13695639744400978,0.05078842677175999,0.05750903766602278,0.00010328274220228195
3927.png,None,0,0,0,0,12,12,0.1325821503996849,0.05078083835542202,0.09905381966382265,7.021240890026093e-05
2694.png,None,0,0,0,0,25,25,0.13923532143235207,0.05093188397586346,0.1953360317274928,9.431596845388412e-05
1206.png,None,0,0,0,0,20,20,0.1317974105477333,0.050587356090545654,0.15500843338668346,8.435267955064774e-05
1115.png,None,0,0,0,0,7,7,0.1339634545147419,0.05062662810087204,0.06253581587225199,6.0208141803741455e-05
0754.png,None,0,0,0,0,13,13,0.1343376711010933,0.05089637916535139,0.11919226683676243,7.017888128757477e-05
0427.png,None,41,4,29,12,30,25,0.14172177016735077,0.04987076297402382,0.19102219492197037,9.475741535425186e-05
3923.png,None,0,0,0,0,20,20,0.13472953159362078,0.05071630887687206,0.1570450784638524,8.407887071371078e-05
4645.png,None,0,0,0,0,14,14,0.1217748336493969,0.05031592771410942,0.1278044106438756,7.274746894836426e-05
2994.png,None,0,0,0,0,14,14,0.12768438644707203,0.05009851325303316,0.11245942767709494,7.231254130601883e-05
1487.png,None,0,0,0,0,17,17,0.12290437985211611,0.05051566939800978,0.13301119673997164,7.994845509529114e-05
1539.png,None,0,0,0,0,30,30,0.12267630267888308,0.05065940599888563,0.2432340532541275,0.00010139122605323792
0339.png,None,0,0,0,0,24,24,0.13716228865087032,0.05007677525281906,0.18486732710152864,9.067635983228683e-05
4306.png,None,0,0,0,0,15,15,0.1269237557426095,0.051019832491874695,0.11847454216331244,7.468648254871368e-05
1873.png,None,0,0,0,0,32,32,0.12244335561990738,0.05018988251686096,0.243920074775815,0.00010723620653152466
4741.png,None,0,0,0,0,32,32,0.14169223979115486,0.05008648708462715,0.24494560901075602,0.00010396819561719894
3294.png,None,0,0,0,0,20,20,0.135980729945004,0.05013862159103155,0.16883473936468363,8.563883602619171e-05
2523.png,None,0,0,0,0,26,26,0.13624111376702785,0.05016614869236946,0.1985286558046937,9.566172957420349e-05
3545.png,None,0,0,0,0,18,18,0.13011253625154495,0.05061300937086344,0.15497908741235733,8.010026067495346e-05
3680.png,None,0,0,0,0,26,26,0.13108923565596342,0.05007889773696661,0.19715080689638853,9.619724005460739e-05
3815.png,None,1,0,1,0,28,27,0.1372583843767643,0.05083495378494263,0.20614039432257414,0.00010049901902675629
0770.png,None,0,0,0,0,26,26,0.13688724301755428,0.049941105768084526,0.19750167429447174,9.49343666434288e-05
1225.png,None,0,0,0,0,13,13,0.11747587006539106,0.0501452200114727,0.11971057206392288,7.060728967189789e-05
3804.png,None,0,0,0,0,32,32,0.1369538363069296,0.050097919069230556,0.24337906204164028,0.00010807439684867859
4738.png,None,0,0,0,0,14,14,0.1305194040760398,0.05065291468054056,0.11342018190771341,7.294584065675735e-05
1917.png,None,0,0,0,0,17,17,0.1271925698965788,0.04992309957742691,0.13199195824563503,7.687043398618698e-05
3298.png,None,0,0,0,0,14,14,0.13355116918683052,0.0499395951628685,0.11110543739050627,7.348693907260895e-05
0359.png,None,0,0,0,0,19,19,0.13340473733842373,0.050805107690393925,0.15077401418238878,8.210539817810059e-05
1187.png,None,0,0,0,0,22,22,0.13312981091439724,0.05003178212791681,0.18304890114814043,8.880998939275742e-05
0562.png,None,0,0,0,0,19,19,0.12801371235400438,0.05067893583327532,0.15040967985987663,8.152145892381668e-05
2485.png,None,0,0,0,0,20,20,0.1309387618675828,0.04996605962514877,0.15437500085681677,0.00012894626706838608
0662.png,None,0,0,0,0,24,24,0.13960902206599712,0.050614588893949986,0.185379134491086,9.21366736292839e-05
2328.png,None,0,0,0,0,22,22,0.12534207478165627,0.05007790680974722,0.1680670538917184,8.871406316757202e-05
2333.png,None,0,0,0,0,25,25,0.13675803132355213,0.050739504396915436,0.19160600192844868,9.369198232889175e-05
0042.png,None,0,0,0,0,16,16,0.13518928922712803,0.05003648530691862,0.1366668501868844,7.759220898151398e-05
4480.png,None,0,0,0,0,11,11,0.13146589044481516,0.050753241404891014,0.08753022644668818,6.800703704357147e-05
